"Time (EpSec),""Range (km)"""
3420019.000,2246.142205
3420039.000,2118.389840
3420059.000,1992.112131
3420079.000,1867.667092
3420099.000,1745.504807
3420119.000,1626.196802
3420139.000,1510.475188
3420159.000,1399.283820
3420179.000,1293.842601
3420199.000,1195.721959
3420219.000,1106.914561
3420239.000,1029.871454
3420259.000,967.439624
3420279.000,922.614250
3420299.000,898.050666
3420319.000,895.423006
3420339.000,914.915615
3420359.000,955.161409
3420379.000,1013.669864
3420399.000,1087.468938
3420419.000,1173.644033
3420439.000,1269.639550
3420459.000,1373.356113
3420479.000,1483.130368
3420499.000,1597.667448
3420519.000,1715.965354
3420539.000,1837.247729
3420559.000,1960.909619
3420579.000,2086.475708
3420599.000,2213.568864
3420619.000,2341.886687
3420627.422,2396.229480
3464103.840,2395.869460
3464123.000,2275.540367
3464143.000,2151.352753
3464163.000,2028.936321
3464183.000,1908.694444
3464203.000,1791.127094
3464223.000,1676.858073
3464243.000,1566.669307
3464263.000,1461.542468
3464283.000,1362.706039
3464303.000,1271.681326
3464323.000,1190.311930
3464343.000,1120.748334
3464363.000,1065.345408
3464383.000,1026.431369
3464403.000,1005.946221
3464423.000,1005.033295
3464443.000,1023.751932
3464463.000,1061.062049
3464483.000,1115.089669
3464503.000,1183.531295
3464523.000,1264.025537
3464543.000,1354.398013
3464563.000,1452.775024
3464583.000,1557.605734
3464603.000,1667.635674
3464623.000,1781.861633
3464643.000,1899.484391
3464663.000,2019.866461
3464683.000,2142.497120
3464703.000,2266.964553
3464719.171,2368.713232
3470143.091,2396.463804
3470163.000,2303.266029
3470183.000,2214.527637
3470203.000,2131.337793
3470223.000,2054.407584
3470243.000,1984.498838
3470263.000,1922.407854
3470283.000,1868.940099
3470303.000,1824.875531
3470323.000,1790.925531
3470343.000,1767.685248
3470363.000,1755.587177
3470383.000,1754.863774
3470403.000,1765.525850
3470423.000,1787.361396
3470443.000,1819.955225
3470463.000,1862.725052
3470483.000,1914.967247
3470503.000,1975.904845
3470523.000,2044.731241
3470543.000,2120.645981
3470563.000,2202.880966
3470583.000,2290.717744
3470601.830,2377.943837
3499226.129,2390.211572
3499246.000,2390.780860
3499246.926,2391.005540
3504849.792,2369.618327
3504869.000,2243.936203
3504889.000,2114.045920
3504909.000,1985.407086
3504929.000,1858.342071
3504949.000,1733.258994
3504969.000,1610.680902
3504989.000,1491.285870
3505009.000,1375.961631
3505029.000,1265.878253
3505049.000,1162.579864
3505069.000,1068.087801
3505089.000,984.985886
3505109.000,916.417790
3505129.000,865.874948
3505149.000,836.652559
3505169.000,831.014192
3505189.000,849.430054
3505209.000,890.399227
3505229.000,950.992882
3505249.000,1027.719944
3505269.000,1117.229671
3505289.000,1216.667587
3505309.000,1323.757933
3505329.000,1436.747235
3505349.000,1554.303794
3505369.000,1675.418752
3505389.000,1799.324344
3505409.000,1925.431228
3505429.000,2053.282097
3505449.000,2182.517828
3505469.000,2312.852872
3505481.818,2396.856904
3511048.577,2376.924651
3511068.000,2330.170493
3511088.000,2289.076835
3511108.000,2255.532933
3511128.000,2229.887199
3511148.000,2212.418387
3511168.000,2203.321330
3511188.000,2202.696468
3511208.000,2210.544013
3511228.000,2226.763853
3511248.000,2251.160954
3511268.000,2283.455882
3511288.000,2323.298787
3511308.000,2370.285578
3511315.265,2389.037982
3548981.961,2394.428879
3549001.000,2290.184175
3549021.000,2183.675584
3549041.000,2080.758752
3549061.000,1982.046922
3549081.000,1888.251651
3549101.000,1800.191518
3549121.000,1718.795667
3549141.000,1645.098104
3549161.000,1580.217251
3549181.000,1525.315530
3549201.000,1481.535023
3549221.000,1449.910676
3549241.000,1431.269993
3549261.000,1426.137762
3549281.000,1434.668539
3549301.000,1456.625778
3549321.000,1491.414241
3549341.000,1538.155768
3549361.000,1595.787429
3549381.000,1663.159947
3549401.000,1739.119932
3549421.000,1822.568559
3549441.000,1912.497120
3549461.000,2008.003614
3549481.000,2108.296006
3549501.000,2212.687295
3549521.000,2320.586079
3549529.960,2369.925445
3554956.860,2397.039670
3554976.000,2285.229580
3554996.000,2171.005858
3555016.000,2059.939096
3555036.000,1952.620618
3555056.000,1849.753618
3555076.000,1752.170718
3555096.000,1660.849303
3555116.000,1576.920037
3555136.000,1501.661508
3555156.000,1436.471257
3555176.000,1382.802852
3555196.000,1342.062212
3555216.000,1315.467566
3555236.000,1303.894498
3555256.000,1307.744548
3555276.000,1326.879319
3555296.000,1360.643329
3555316.000,1407.967684
3555336.000,1467.518778
3555356.000,1537.849638
3555376.000,1617.523312
3555396.000,1705.195580
3555416.000,1799.659585
3555436.000,1899.861509
3555456.000,2004.897948
3555476.000,2114.003150
3555496.000,2226.532118
3555516.000,2341.942991
3555521.396,2373.516403
3589724.873,2371.903269
3589744.000,2253.807433
3589764.000,2132.192440
3589784.000,2012.890035
3589804.000,1896.396211
3589824.000,1783.319792
3589844.000,1674.410129
3589864.000,1570.589237
3589884.000,1472.986076
3589904.000,1382.967273
3589924.000,1302.152401
3589944.000,1232.394415
3589964.000,1175.698390
3589984.000,1134.053649
3590004.000,1109.177833
3590024.000,1102.219855
3590044.000,1113.520246
3590064.000,1142.533971
3590084.000,1187.952931
3590104.000,1247.969608
3590124.000,1320.571672
3590144.000,1403.779192
3590164.000,1495.790514
3590184.000,1595.046356
3590204.000,1700.238973
3590224.000,1810.291727
3590244.000,1924.326790
3590264.000,2041.631017
3590284.000,2161.624764
3590304.000,2283.835347
3590322.271,2397.088486
3595772.914,2371.276444
3595792.000,2279.739269
3595812.000,2188.157884
3595832.000,2101.624503
3595852.000,2020.821918
3595872.000,1946.495158
3595892.000,1879.440543
3595912.000,1820.485911
3595932.000,1770.460658
3595952.000,1730.155119
3595972.000,1700.271596
3595992.000,1681.371850
3596012.000,1673.828990
3596032.000,1677.792159
3596052.000,1693.171532
3596072.000,1719.647103
3596092.000,1756.699018
3596112.000,1803.653146
3596132.000,1859.733400
3596152.000,1924.112293
3596172.000,1995.954227
3596192.000,2074.448432
3596212.000,2158.831494
3596232.000,2248.400424
3596252.000,2342.518515
3596262.451,2393.314375
3633892.671,2391.694538
3633912.000,2316.419377
3633932.000,2244.001278
3633952.000,2177.732518
3633972.000,2118.227031
3633992.000,2066.102971
3634012.000,2021.961752
3634032.000,1986.362496
3634052.000,1959.793813
3634072.000,1942.645282
3634092.000,1935.182243
3634112.000,1937.527177
3634132.000,1949.650958
3634152.000,1971.375147
3634172.000,2002.385161
3634192.000,2042.251824
3634212.000,2090.458456
3634232.000,2146.429554
3634252.000,2209.558174
3634272.000,2279.229525
3634292.000,2354.839963
3634296.708,2373.438484
3639789.934,2397.020516
3639809.000,2274.425370
