"Time (EpSec)","Range (km)"
3640026.000,1079.333006
3640036.000,1045.676803
3640046.000,1015.874630
3640056.000,990.277960
3640066.000,969.223017
3640076.000,953.013289
3640086.000,941.900811
3640096.000,936.068393
3640106.000,935.615447
3640116.000,940.549775
3640126.000,950.786969
3640136.000,966.157354
3640146.000,986.419333
3640156.000,1011.276734
3640166.000,1040.397552
3640176.000,1073.431757
3640186.000,1110.026475
3640196.000,1149.837929
3640206.000,1192.539778
3640216.000,1237.828403
3640226.000,1285.425624
3640236.000,1335.079517
3640246.000,1386.563892
3640256.000,1439.676935
3640266.000,1494.239359
3640276.000,1550.092335
3640286.000,1607.095391
3640296.000,1665.124366
3640306.000,1724.069504
3640314.677,1775.880954
3674755.360,1781.363793
3674765.000,1747.070083
3674775.000,1713.628570
3674785.000,1682.489997
3674795.000,1653.788430
3674805.000,1627.656487
3674815.000,1604.223143
3674825.000,1583.611282
3674835.000,1565.935077
3674845.000,1551.297297
3674855.000,1539.786663
3674865.000,1531.475378
3674875.000,1526.417073
3674885.000,1524.645078
3674895.000,1526.171434
3674905.000,1530.986495
3674915.000,1539.059245
3674925.000,1550.338279
3674935.000,1564.753389
3674945.000,1582.217639
3674955.000,1602.629784
3674965.000,1625.876900
3674975.000,1651.837113
3674985.000,1680.382170
3674995.000,1711.379943
3675005.000,1744.696642
3675015.000,1780.198757
3675017.915,1790.939168
3680670.061,1775.083898
3680680.000,1724.338847
3680690.000,1674.628785
3680700.000,1626.398595
3680710.000,1579.788698
3680720.000,1534.951384
3680730.000,1492.050906
3680740.000,1451.263234
3680750.000,1412.775302
3680760.000,1376.783626
3680770.000,1343.492164
3680780.000,1313.109296
3680790.000,1285.843842
3680800.000,1261.900147
3680810.000,1241.472241
3680820.000,1224.737497
3680830.000,1211.849916
3680840.000,1202.933699
3680850.000,1198.077611
3680860.000,1197.330694
3680870.000,1200.699805
3680880.000,1208.149269
3680890.000,1219.602603
3680900.000,1234.946317
3680910.000,1254.035112
3680920.000,1276.698125
3680930.000,1302.745593
3680940.000,1331.975396
3680950.000,1364.179103
3680960.000,1399.147202
3680970.000,1436.673412
3680980.000,1476.558034
3680990.000,1518.610320
3681000.000,1562.650178
3681010.000,1608.509065
3681020.000,1656.030397
3681030.000,1705.069557
3681040.000,1755.493584
3681046.694,1789.958362
3724731.200,1791.741431
3724741.000,1730.584248
3724751.000,1668.765638
3724761.000,1607.617995
3724771.000,1547.228338
3724781.000,1487.696374
3724791.000,1429.136612
3724801.000,1371.680803
3724811.000,1315.480727
3724821.000,1260.711327
3724831.000,1207.574130
3724841.000,1156.300856
3724851.000,1107.156969
3724861.000,1060.444793
3724871.000,1016.505586
3724881.000,975.719686
3724891.000,938.503576
3724901.000,905.302466
3724911.000,876.577082
3724921.000,852.783673
3724931.000,834.347557
3724941.000,821.632077
3724951.000,814.907042
3724961.000,814.322169
3724971.000,819.891205
3724981.000,831.490426
3724991.000,848.871939
3725001.000,871.688557
3725011.000,899.524852
3725021.000,931.928659
3725031.000,968.438651
3725041.000,1008.605625
