"Time (EpSec)","Range (km)"
1517721.000,974.098736
1517741.000,1047.609447
1517761.000,1134.161996
1517781.000,1230.973458
1517801.000,1335.776175
1517815.084,1413.393561
1567636.019,1412.602510
1567656.000,1346.748538
1567676.000,1293.096340
1567696.000,1253.314175
1567716.000,1228.766311
1567736.000,1220.381489
1567756.000,1228.492274
1567776.000,1252.772654
1567796.000,1292.298973
1567816.000,1345.709716
1567834.531,1406.196517
1602408.647,1405.759826
1602428.000,1335.957645
1602448.000,1275.370756
1602468.000,1228.269367
1602488.000,1196.271644
1602508.000,1180.623005
1602528.000,1181.982072
1602548.000,1200.292397
1602568.000,1234.794101
1602588.000,1284.169919
1602608.000,1346.765896
1602625.960,1412.783416
1652440.519,1413.407062
1652460.000,1308.595306
1652480.000,1207.886007
1652500.000,1116.085365
1652520.000,1035.611955
1652540.000,969.331734
1652560.000,920.349353
1652580.000,891.544481
1652600.000,884.903718
1652620.000,900.920969
1652640.000,938.430692
1652660.000,994.990329
1652680.000,1067.554150
1652700.000,1153.076261
1652720.000,1248.863962
1652740.000,1352.700746
1652749.296,1403.200630
1693227.305,1403.063148
1693247.000,1323.575844
1693267.000,1253.367000
1693287.000,1195.633753
1693307.000,1152.273148
1693327.000,1124.961403
1693347.000,1114.883872
1693367.000,1122.502306
1693387.000,1147.454161
1693407.000,1188.631298
1693427.000,1244.400755
1693447.000,1312.875577
1693467.000,1392.148968
1693471.524,1411.391951
1737288.654,1412.972731
1737308.000,1305.316605
1737328.000,1200.124662
1737348.000,1102.952842
1737368.000,1016.157683
1737388.000,942.657767
1737408.000,885.809785
1737428.000,848.997633
1737448.000,834.897881
1737468.000,844.659988
1737488.000,877.488591
1737508.000,930.937737
1737528.000,1001.694847
1737548.000,1086.359269
1737568.000,1181.916536
1737588.000,1285.906466
1737608.000,1396.408649
1737609.023,1402.207817
1778037.323,1402.211934
1778057.000,1292.801118
1778077.000,1187.891870
1778097.000,1091.201297
1778117.000,1005.148725
1778137.000,932.721864
1778157.000,877.332743
1778177.000,842.370610
1778197.000,830.430648
1778217.000,842.492614
1778237.000,877.557577
1778257.000,933.016889
1778277.000,1005.475345
1778297.000,1091.520581
1778317.000,1188.167400
1778337.000,1292.999802
1778357.000,1404.141648
1778358.555,1413.002942
1822177.438,1411.311913
1822197.000,1333.271644
1822217.000,1263.917175
1822237.000,1206.957479
1822257.000,1164.246718
1822277.000,1137.417804
1822297.000,1127.624076
1822317.000,1135.317762
1822337.000,1160.154582
1822357.000,1201.067633
1822377.000,1256.476894
1822397.000,1324.547707
1822416.932,1403.133887
1862898.504,1403.285511
1862918.000,1299.575832
1862938.000,1200.352441
1862958.000,1110.368024
1862978.000,1032.086576
1862998.000,968.388648
1863018.000,922.331063
1863038.000,896.657469
1863058.000,893.138499
1863078.000,912.031594
1863098.000,951.994738
1863118.000,1010.514259
1863138.000,1084.566477
1863158.000,1171.178762
1863178.000,1267.744617
1863198.000,1372.125462
1863205.583,1413.380222
1913018.500,1412.829274
1913038.000,1339.615969
1913058.000,1275.785196
1913078.000,1225.150576
1913098.000,1189.420675
1913118.000,1169.976523
1913138.000,1167.638898
1913158.000,1182.508433
1913178.000,1213.944646
